name,lat,lon,url
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2016.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2017.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2019.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2020.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2021.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2022.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2023.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1973.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1974.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1975.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1976.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1977.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1978.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1979.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1980.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1981.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1982.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1983.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1984.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1985.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1986.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1987.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1988.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1989.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1990.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1991.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1992.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1993.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1994.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1995.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1996.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1997.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1998.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h1999.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2000.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2001.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2002.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2003.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2004.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2005.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2006.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2007.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2008.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2010.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2012.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2013.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2014.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2015.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2016.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2017.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2018.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2019.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2020.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2021.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2022.txt.gz&dir=data/historical/stdmet/
41002,31.759,-74.936,https://www.ndbc.noaa.gov/view_text_file.php?filename=41002h2023.txt.gz&dir=data/historical/stdmet/
41003,30.4,-80.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=41003h1977.txt.gz&dir=data/historical/stdmet/
41003,30.4,-80.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=41003h1979.txt.gz&dir=data/historical/stdmet/
41003,30.4,-80.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=41003h1980.txt.gz&dir=data/historical/stdmet/
41003,30.4,-80.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=41003h1981.txt.gz&dir=data/historical/stdmet/
41003,30.4,-80.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=41003h1982.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1978.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1979.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1980.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1981.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1982.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1986.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1994.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1995.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1996.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1997.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1998.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h1999.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2000.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2001.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2002.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2003.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2004.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2005.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2006.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2007.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2008.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2009.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2010.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2011.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2012.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2014.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2015.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2016.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2017.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2018.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2019.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2020.txt.gz&dir=data/historical/stdmet/
41004,32.502,-79.099,https://www.ndbc.noaa.gov/view_text_file.php?filename=41004h2021.txt.gz&dir=data/historical/stdmet/
